timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-24T12:58:43Z,58,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,,24,,3231897,76233,Pending
2026-08-24T12:59:06Z,81,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,,29,,3248831,90657,Running
2026-08-24T12:59:29Z,104,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,21,31,2,3303607,104203,Running
2026-08-24T12:59:52Z,127,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,21,56,2,177060741,937471,Running
2026-08-24T13:00:17Z,152,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,24,59,66,346893815,1660015,Running
2026-08-24T13:00:40Z,175,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,26,31,76,348165752,1681761,Running
2026-08-24T13:01:02Z,197,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,25,46,5,350214115,1703213,Running
2026-08-24T13:01:25Z,220,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,25,35,8,350230416,1716245,Running
2026-08-24T13:01:48Z,243,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,25,36,3,350242941,1730404,Running
2026-08-24T13:02:11Z,266,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,26,47,37,533613492,2413242,Running
2026-08-24T13:02:34Z,289,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,27,52,240,782787978,3299324,Running
2026-08-24T13:02:57Z,312,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,31,49,293,1002957562,4126261,Running
2026-08-24T13:03:20Z,335,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,26,49,112,1002969125,4140281,Running
2026-08-24T13:03:43Z,358,plan-bench-vm-1051-hjp6s,qemtvd-07-2vn4h-worker-0-9n99r,26,49,1,1002980071,4153167,Running
