timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-24T12:35:28Z,48,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,,,,61102,33036,Pending
2026-08-24T12:35:51Z,71,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,,831,,2138631,269353,Running
2026-08-24T12:36:14Z,94,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,539,681,1341,44228878,1920494,Running
2026-08-24T12:36:42Z,122,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,535,714,299,112034740,5260636,Running
2026-08-24T12:37:05Z,145,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,536,769,404,147771076,6912676,Running
2026-08-24T12:37:27Z,167,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,641,1308,1126,242061681,7524913,Running
2026-08-24T12:37:50Z,190,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,641,1079,1126,242072146,7543514,Running
2026-08-24T12:38:12Z,212,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,928,1194,1135,242152846,7561271,Running
2026-08-24T12:38:35Z,235,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,1002,1196,1170,242155834,7576854,Running
2026-08-24T12:38:57Z,257,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,1096,1330,1236,242372998,7597821,Running
2026-08-24T12:39:19Z,279,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,1183,1297,1530,242461861,7620343,Running
2026-08-24T12:39:41Z,301,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,984,519,1278,244887288,7821314,Running
2026-08-24T12:40:03Z,323,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,302,827,1269,634178277,10324417,Running
2026-08-24T12:40:26Z,346,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,362,737,210,1184274876,13809494,Running
2026-08-24T12:40:48Z,368,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,370,789,208,1725713511,16371756,Running
2026-08-24T12:41:10Z,390,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,343,837,205,2268176837,18994179,Running
2026-08-24T12:41:32Z,412,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,353,910,206,2712633879,20605244,Running
2026-08-24T12:41:55Z,435,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,293,896,176,3176194487,22213229,Running
2026-08-24T12:42:18Z,458,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,295,706,178,3613915542,24634042,Running
2026-08-24T12:42:41Z,481,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,293,671,176,4080538161,26831013,Running
2026-08-24T12:43:04Z,504,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,293,810,175,4542647369,28501708,Running
2026-08-24T12:43:27Z,527,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,263,737,179,5016844211,30708268,Running
2026-08-24T12:43:49Z,549,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,268,703,174,5488478416,32912612,Running
2026-08-24T12:44:12Z,572,plan-bench-vm-1021-sszlx,qemtvd-07-2vn4h-worker-0-ckbmc,250,853,178,5960387903,34977677,Running
