timestamp_utc,elapsed_s,pod,node,mem_working_set_mi,mem_rss_mi_cgroup,cpu_m,net_rx_bytes,net_tx_bytes,phase
2026-08-05T21:33:22Z,64,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,,49,,59473,35125,Pending
2026-08-05T21:33:43Z,85,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,,855,,2460211,120044,Running
2026-08-05T21:34:03Z,105,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,,837,,34420702,1765514,Running
2026-08-05T21:34:24Z,126,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,418,950,766,76745674,2180135,Running
2026-08-05T21:34:49Z,151,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,794,948,1276,76753010,2191415,Running
2026-08-05T21:35:09Z,171,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,786,897,1343,76757913,2204310,Running
2026-08-05T21:35:30Z,192,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,800,1069,1157,76760467,2218079,Running
2026-08-05T21:35:51Z,213,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,812,1060,1200,76768846,2233052,Running
2026-08-05T21:36:11Z,233,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,808,1096,1123,76771539,2246913,Running
2026-08-05T21:36:32Z,254,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,898,591,1181,279904075,3563528,Running
2026-08-05T21:36:53Z,275,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,258,1033,1002,884174702,6071193,Running
2026-08-05T21:37:13Z,295,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,302,1258,338,1480355994,8328272,Running
2026-08-05T21:37:34Z,316,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,314,1129,343,2074201587,10717806,Running
2026-08-05T21:38:03Z,345,plan-ref-win-vm-1050-7dztf,qemtvd-07-w56zg-worker-0-mb2zg,311,993,362,2866334257,13540426,Running
